,sex,ethnicity,age_range,var,intercept,slope,r_squared,std,count
197,female,mexican,all,PEFR,-1.4431574774737017,0.08378693665879293,0.46230377655595545,1.5092348519205643,1562
198,female,mexican,under,EXPIR,4.430149263328182,0.03045321093235117,0.008750466756734854,2.6266899604891845,557
199,female,mexican,under,FEF75,-0.49861501272685804,-0.01778912658567105,0.4043087796926653,0.6029451007928409,557
200,female,mexican,under,FEV05,-1.1212516202898577,0.1423702812998105,0.7271230737211499,0.5150886125702854,557
201,female,mexican,under,FEV1,-1.404226214381291,0.12721514944567405,0.8007107901431966,0.6728807872188801,557
202,female,mexican,under,FEV3,-1.5888508411462783,0.14320257132483108,0.8040702157082855,0.7460691834861339,557
203,female,mexican,under,FEV6,-1.5310842444005077,0.1305362727886511,0.8002818662387199,0.7525520031015124,557
204,female,mexican,under,FVC,-1.5208950570791364,0.1293856307611478,0.7999779131481013,0.7536522920042084,557
205,female,mexican,under,MMEF,-1.889062416576183,0.27728741339585383,0.48738604788477324,0.981995744172508,557
206,female,mexican,under,PEFR,-4.567669737559071,0.7221012292448026,0.5648628205920128,1.530313332771566,557
207,female,mexican,over,EXPIR,3.216314596294013,0.20224133988192164,0.1547934122530381,3.7026323652747286,1005
208,female,mexican,over,FEF75,1.7587692308486287,-0.04967292169547928,0.4384229169828886,0.6437354046806968,1005
209,female,mexican,over,FEV05,0.3595056215152208,0.003629742610481747,0.5736853345064237,0.4487217834524179,1005
210,female,mexican,over,FEV1,0.5771015098990242,-0.010530693339690117,0.6611533678027867,0.576320346182878,1005
211,female,mexican,over,FEV3,0.40366838260030136,-0.009885957874636937,0.6461530352283826,0.6344771625757165,1005
212,female,mexican,over,FEV6,0.23147950508208393,-0.004282561773608823,0.6103391350414076,0.6266390763804446,1005
213,female,mexican,over,FVC,0.11010899322167367,-0.0006194466462405879,0.5696388166352502,0.6110075837516534,1005
214,female,mexican,over,MMEF,2.09104968974051,-0.009649586354152589,0.44377796413805903,1.0620407412993438,1005
215,female,mexican,over,PEFR,0.15653282399844137,0.051423656002191634,0.3300914878434108,1.3956148456303972,1005
